method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,1,43315,173260,76,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,1,44042,176168,77,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,1,44576,178304,78,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,1,45313,181252,79,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,1,45955,183820,80,640.0,5.973999623182945
DreamerV3,official_size12m,Alien,1,46629,186516,81,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,47159,188636,82,630.0,5.829069986521544
DreamerV3,official_size12m,Alien,1,47638,190552,83,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,48275,193100,84,1030.0,11.62625545297758
DreamerV3,official_size12m,Alien,1,48632,194528,85,330.0,1.4811808866795169
DreamerV3,official_size12m,Alien,1,49189,196756,86,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,49630,198520,87,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,1,50398,201592,88,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,1,51022,204088,89,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,51501,206004,90,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,52035,208140,91,490.0,3.8000550732619316
DreamerV3,official_size12m,Alien,1,52632,210528,92,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,1,53065,212260,93,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,1,53795,215180,94,750.0,7.568225626458356
DreamerV3,official_size12m,Alien,1,54334,217336,95,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,1,55036,220144,96,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,1,55589,222356,97,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,56017,224068,98,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,56489,225956,99,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,1,57219,228876,100,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,57664,230656,101,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,58031,232124,102,440.0,3.075406889954927
DreamerV3,official_size12m,Alien,1,58541,234164,103,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,58887,235548,104,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,59238,236952,105,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,1,59875,239500,106,700.0,6.84357744315135
DreamerV3,official_size12m,Alien,1,60471,241884,107,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,61074,244296,108,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,1,61552,246208,109,610.0,5.5392107131987425
DreamerV3,official_size12m,Alien,1,62110,248440,110,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,62543,250172,111,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,1,63336,253344,112,620.0,5.684140349860143
DreamerV3,official_size12m,Alien,1,63901,255604,113,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,64465,257860,114,550.0,4.669632893230337
DreamerV3,official_size12m,Alien,1,64904,259616,115,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,1,65371,261484,116,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,65977,263908,117,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,66506,266024,118,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,67101,268404,119,620.0,5.684140349860143
DreamerV3,official_size12m,Alien,1,67781,271124,120,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,1,68456,273824,121,1150.0,13.36541109291439
DreamerV3,official_size12m,Alien,1,69169,276676,122,1140.0,13.22048145625299
DreamerV3,official_size12m,Alien,1,69692,278768,123,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,1,70211,280844,124,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,1,70865,283460,125,1090.0,12.495833272945985
DreamerV3,official_size12m,Alien,1,71341,285364,126,550.0,4.669632893230337
DreamerV3,official_size12m,Alien,1,72094,288376,127,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,72632,290528,128,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,1,73369,293476,129,670.0,6.408788533167147
DreamerV3,official_size12m,Alien,1,73834,295336,130,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,1,74489,297956,131,550.0,4.669632893230337
DreamerV3,official_size12m,Alien,1,75467,301868,132,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,76017,304068,133,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,1,76591,306364,134,1090.0,12.495833272945985
DreamerV3,official_size12m,Alien,1,77268,309072,135,660.0,6.263858896505747
DreamerV3,official_size12m,Alien,1,77769,311076,136,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,78342,313368,137,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,79025,316100,138,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,1,79877,319508,139,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,80320,321280,140,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,1,80881,323524,141,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,1,81581,326324,142,690.0,6.69864780648995
DreamerV3,official_size12m,Alien,1,82257,329028,143,630.0,5.829069986521544
DreamerV3,official_size12m,Alien,1,82777,331108,144,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,1,83708,334832,145,640.0,5.973999623182945
DreamerV3,official_size12m,Alien,1,84472,337888,146,740.0,7.423295989796955
DreamerV3,official_size12m,Alien,1,85033,340132,147,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,1,85599,342396,148,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,86499,345996,149,800.0,8.29287380976536
DreamerV3,official_size12m,Alien,1,87285,349140,150,1230.0,14.524848186205597
DreamerV3,official_size12m,Alien,1,87961,351844,151,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,1,88577,354308,152,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,1,89326,357304,153,750.0,7.568225626458356
DreamerV3,official_size12m,Alien,1,90081,360324,154,760.0,7.713155263119757
DreamerV3,official_size12m,Alien,1,90838,363352,155,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,1,91280,365120,156,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,1,91865,367460,157,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,1,92447,369788,158,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,1,93132,372528,159,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,1,93900,375600,160,710.0,6.988507079812751
DreamerV3,official_size12m,Alien,1,94670,378680,161,710.0,6.988507079812751
